skill,have_skill_and_add_to_profile,already_in_profile,jd_count,example_jds
Dashboards,,,14,Agile Project Manager - Everforth ECS; Product Manager 1 - (AI Focus) - Principal Financial Group; Product Operations Associate - Victory Live; Product Operations Intern - Roadie; Project Coordinator (Scrum) - OP
Retrospectives,,,14,Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; Associate Project Manager - RemoteHunter; IT Business Analyst III - Gama-1 Technologies; Product Manager I - Ad Hoc
Scope management,,,14,Information Technology Project Manager - Call Quest Solution; Project Coordinator - Sourcedpeople; PROJECT MANAGER - Atos; PROJECT MANAGER - Atos; Project Manager (English Speaking) - Jobgether
SDLC,,,14,IT Business Analyst III - Gama-1 Technologies; Lead Technical Project Manager - Remote - Experian; Project Manager | Remote - Crossing Hurdles; Scrum Master - Helic & Co.; Technical Program Manager - Hanson Consulting Group
Confluence,,,13,Lead Technical Project Manager - Remote - Experian; Product Manager 1 - (AI Focus) - Principal Financial Group; Product Manager I - Ad Hoc; Project Coordinator (Scrum) - OP; Project Management Officer - HFM
Feature prioritization,,,13,"Associate Product Manager - Mastery Logistics Systems, Inc.; IT Business Analyst III - Gama-1 Technologies; Product Manager 1 - (AI Focus) - Principal Financial Group; Product Operations Associate - Victory Live; Product Owner - Mutual of Omaha"
Mentoring,,,13,AI Technical Project Manager - Remote Work - BairesDev; Middle Project Manager - NineTwoThree AI Studio; Product Operations Intern - Roadie; Project Coordinator - Sourcedpeople; PROJECT MANAGER - Atos
Microsoft Excel,,,13,"Associate Project Manager, Product and Data - Horizon Media; Project Coordinator (Scrum) - OP; Project Manager - Codekeeper; Analytics Product Manager - Cotiviti; Client Program Manager - Academian"
Client management,,,12,"Associate Project Manager, Product and Data - Horizon Media; Delivery Lead - Halo Media; Information Technology Project Manager - Call Quest Solution; Project Manager - RedStream Technology; Project Manager - The Project Shop"
Requirements gathering,,,12,IT Business Analyst III - Gama-1 Technologies; Middle Project Manager - NineTwoThree AI Studio; Product Manager I - Ad Hoc; Product Owner - Realtime Clinical Trial Management Systems; Project Manager - The Project Shop
Workday,,,12,Project Manager - CSG; AI Application Specialist - Motorola Solutions; Application Specialist - Motorola Solutions; Business Analyst - SaaS - Motorola Solutions; Client Project Manager - Thomson Reuters
Business intelligence,,,11,"Associate Project Manager, Product and Data - Horizon Media; Project Coordinator (Scrum) - OP; Technical Project Manager - System One; Technical Project Manager - Yalo; Analytics Product Manager - Cotiviti"
Change management,,,11,Information Technology Project Manager - Call Quest Solution; Lead Technical Project Manager - Remote - Experian; Project Management Officer - HFM; Technical Client Engagement Manager - Aspira; Technical Project Manager - Norstella
Customer success,,,11,Technical Project Manager - Gravitate; Application Specialist - Motorola Solutions; Associate Consultant - 26187 - Enverus; Associate Technical Program Manager - Guidewire; Client Program Manager - Academian
Implementation management,,,11,Project Manager - The Project Shop; Technical Project Manager - Norstella; Associate Project Manager - System Automation Corporation; Delivery Lead - RELISH; Enterprise Implementation Specialist - Kollective Group
KPI tracking,,,11,Agile Project Manager - Everforth ECS; Product Manager 1 - (AI Focus) - Principal Financial Group; Project Coordinator (Scrum) - OP; Project Manager - 6ix; PROJECT MANAGER - Atos
KPIs,,,11,Agile Project Manager - Everforth ECS; Product Manager 1 - (AI Focus) - Principal Financial Group; Project Coordinator (Scrum) - OP; Project Manager - 6ix; PROJECT MANAGER - Atos
Machine learning,,,11,Agile Project Manager - Everforth ECS; Middle Project Manager - NineTwoThree AI Studio; Product Manager 1 - (AI Focus) - Principal Financial Group; Technical Program Manager - Abnormal AI; Technical Program Manager - AI & Security/Executive /leadershp level communication - Ahura Workforce Solutions
Technical project management,,,11,AI Technical Project Manager - Remote Work - BairesDev; Lead Technical Project Manager - Remote - Experian; Project Manager - Plusgrade; Technical Project Manager - Gravitate; Technical Project Manager - Insight Global
